sensors,rawmsg,mintime,maxtime,msgcount,icao24,emittercategory,ftc,identity,hour
"[(serial: -1408231493, mintime: 1705251762.243, maxtime: 1705251762.243)]",8da5ade3225d5434db5820e44ac5,1705251762.243,1705251762.243,1,a5ade3,2,4,WUP465  ,1705251600
"[(serial: -1408231493, mintime: 1705251787.751, maxtime: 1705251787.751), (serial: -1408232854, mintime: 1705251787.985, maxtime: 1705251787.985), (serial: -1408232811, mintime: 1705251787.882, maxtime: 1705251787.882)]",8da5ade3225d5434db5820e44ac5,1705251787.751,1705251787.985,1,a5ade3,2,4,WUP465  ,1705251600
"[(serial: -1408232854, mintime: 1705251887.971, maxtime: 1705251887.971)]",8da5ade3225d5434db5820e44ac5,1705251887.971,1705251887.971,1,a5ade3,2,4,WUP465  ,1705251600
"[(serial: -1408231493, mintime: 1705251963.083, maxtime: 1705251963.083), (serial: -1408232811, mintime: 1705251963.201, maxtime: 1705251963.201), (serial: -1408232854, mintime: 1705251963.18, maxtime: 1705251963.18)]",8da5ade3225d5434db5820e44ac5,1705251963.083,1705251963.201,1,a5ade3,2,4,WUP465  ,1705251600
"[(serial: -1408231493, mintime: 1705251998.356, maxtime: 1705251998.356), (serial: -1408232854, mintime: 1705251998.376, maxtime: 1705251998.376), (serial: -1408232811, mintime: 1705251998.354, maxtime: 1705251998.354), (serial: -1408232390, mintime: 1705251998.427, maxtime: 1705251998.427)]",8da5ade3225d5434db5820e44ac5,1705251998.354,1705251998.427,1,a5ade3,2,4,WUP465  ,1705251600
"[(serial: 1518136828, mintime: 1705252333.215, maxtime: 1705252333.215)]",8da372ae213b3cb11d38205b7b75,1705252333.215,1705252333.215,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252413.021, maxtime: 1705252413.021)]",8da372ae213b3cb11d38205b7b75,1705252413.021,1705252413.021,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252438.052, maxtime: 1705252438.052)]",8da372ae213b3cb11d38205b7b75,1705252438.052,1705252438.052,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252458.046, maxtime: 1705252458.046)]",8da372ae213b3cb11d38205b7b75,1705252458.046,1705252458.046,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252473.298, maxtime: 1705252473.298)]",8da372ae213b3cb11d38205b7b75,1705252473.298,1705252473.298,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252523.751, maxtime: 1705252523.751)]",8da372ae213b3cb11d38205b7b75,1705252523.751,1705252523.751,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252528.492, maxtime: 1705252528.492)]",8da372ae213b3cb11d38205b7b75,1705252528.492,1705252528.492,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252538.215, maxtime: 1705252538.215)]",8da372ae213b3cb11d38205b7b75,1705252538.215,1705252538.215,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252548.045, maxtime: 1705252548.045)]",8da372ae213b3cb11d38205b7b75,1705252548.045,1705252548.045,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252618.292, maxtime: 1705252618.292)]",8da372ae213b3cb11d38205b7b75,1705252618.292,1705252618.292,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252718.545, maxtime: 1705252718.545), (serial: -1408232390, mintime: 1705252718.198, maxtime: 1705252718.198)]",8da372ae213b3cb11d38205b7b75,1705252718.198,1705252718.545,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408232390, mintime: 1705252886.521, maxtime: 1705252886.521)]",8da372ae213b3cb11d38205b7b75,1705252886.521,1705252886.521,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408232390, mintime: 1705252926.598, maxtime: 1705252926.598)]",8da372ae213b3cb11d38205b7b75,1705252926.598,1705252926.598,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408232390, mintime: 1705252992.016, maxtime: 1705252992.016)]",8da372ae213b3cb11d38205b7b75,1705252992.016,1705252992.016,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408232390, mintime: 1705253002.08, maxtime: 1705253002.08)]",8da372ae213b3cb11d38205b7b75,1705253002.08,1705253002.08,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408232390, mintime: 1705253007.149, maxtime: 1705253007.149)]",8da372ae213b3cb11d38205b7b75,1705253007.149,1705253007.149,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408232390, mintime: 1705253658.081, maxtime: 1705253658.081)]",8da372ae213b3cb11d38205b7b75,1705253658.081,1705253658.081,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408229774, mintime: 1705253637.694, maxtime: 1705253637.694), (serial: -1408232854, mintime: 1705253637.727, maxtime: 1705253637.727), (serial: -1408232390, mintime: 1705253637.627, maxtime: 1705253637.627)]",8da842a92338b4f2df0da094c4b8,1705253637.627,1705253637.727,1,a842a9,3,4,NKS2706 ,1705251600
"[(serial: -1408231493, mintime: 1705254113.582, maxtime: 1705254113.582)]",8da842a92338b4f2df0da094c4b8,1705254113.582,1705254113.582,1,a842a9,3,4,NKS2706 ,1705251600
"[(serial: -1408229774, mintime: 1705254298.935, maxtime: 1705254298.935), (serial: -1408231493, mintime: 1705254298.904, maxtime: 1705254298.904), (serial: -1408232854, mintime: 1705254299.061, maxtime: 1705254299.061), (serial: -1408232811, mintime: 1705254298.946, maxtime: 1705254298.946)]",8da842a92338b4f2df0da094c4b8,1705254298.904,1705254299.061,1,a842a9,3,4,NKS2706 ,1705251600
"[(serial: -1408231493, mintime: 1705254308.558, maxtime: 1705254308.558)]",8da842a92338b4f2df0da094c4b8,1705254308.558,1705254308.558,1,a842a9,3,4,NKS2706 ,1705251600
"[(serial: -1408231493, mintime: 1705254419.308, maxtime: 1705254419.308)]",8da842a92338b4f2df0da094c4b8,1705254419.308,1705254419.308,1,a842a9,3,4,NKS2706 ,1705251600
"[(serial: -1408231493, mintime: 1705254449.374, maxtime: 1705254449.374)]",8da842a92338b4f2df0da094c4b8,1705254449.374,1705254449.374,1,a842a9,3,4,NKS2706 ,1705251600
"[(serial: -1408231493, mintime: 1705254706.09, maxtime: 1705254706.09)]",8da842a92338b4f2df0da094c4b8,1705254706.09,1705254706.09,1,a842a9,3,4,NKS2706 ,1705251600
"[(serial: -1408235760, mintime: 1705254479.128, maxtime: 1705254479.128)]",8da51995213b4cb80cd820f46f46,1705254479.128,1705254479.128,1,a51995,1,4,N428CM  ,1705251600
"[(serial: 1518136828, mintime: 1705254599.552, maxtime: 1705254599.552)]",8da51995213b4cb80cd820f46f46,1705254599.552,1705254599.552,1,a51995,1,4,N428CM  ,1705251600
"[(serial: -1408235760, mintime: 1705254404.691, maxtime: 1705254404.691)]",8da51995213b4cb80cd820f46f46,1705254404.691,1705254404.691,1,a51995,1,4,N428CM  ,1705251600
"[(serial: -1408235760, mintime: 1705254419.67, maxtime: 1705254419.67)]",8da51995213b4cb80cd820f46f46,1705254419.67,1705254419.67,1,a51995,1,4,N428CM  ,1705251600
"[(serial: -1408230854, mintime: 1705254484.137, maxtime: 1705254484.137)]",8da51995213b4cb80cd820f46f46,1705254484.137,1705254484.137,1,a51995,1,4,N428CM  ,1705251600
"[(serial: 1518136828, mintime: 1705254699.898, maxtime: 1705254699.898), (serial: -1408235760, mintime: 1705254700.006, maxtime: 1705254700.006)]",8da51995213b4cb80cd820f46f46,1705254699.898,1705254700.006,1,a51995,1,4,N428CM  ,1705251600
"[(serial: -1408235760, mintime: 1705254865.289, maxtime: 1705254865.289)]",8da51995213b4cb80cd820f46f46,1705254865.289,1705254865.289,1,a51995,1,4,N428CM  ,1705251600
"[(serial: -1408230934, mintime: 1705254945.547, maxtime: 1705254945.547), (serial: -1408231086, mintime: 1705254945.55, maxtime: 1705254945.55), (serial: -1408231702, mintime: 1705254945.597, maxtime: 1705254945.597), (serial: -1408230519, mintime: 1705254945.594, maxtime: 1705254945.594), (serial: 1518136828, mintime: 1705254945.572, maxtime: 1705254945.572), (serial: -1408235760, mintime: 1705254945.773, maxtime: 1705254945.773)]",8da51995213b4cb80cd820f46f46,1705254945.547,1705254945.773,1,a51995,1,4,N428CM  ,1705251600
"[(serial: -1408232390, mintime: 1705254615.083, maxtime: 1705254615.083), (serial: 1518136828, mintime: 1705254614.988, maxtime: 1705254614.988)]",8da51995213b4cb80cd820f46f46,1705254614.988,1705254615.083,1,a51995,1,4,N428CM  ,1705251600
"[(serial: 1518136828, mintime: 1705254684.71, maxtime: 1705254684.71), (serial: -1408235760, mintime: 1705254684.972, maxtime: 1705254684.972)]",8da51995213b4cb80cd820f46f46,1705254684.71,1705254684.972,1,a51995,1,4,N428CM  ,1705251600
"[(serial: -1408232390, mintime: 1705254800.118, maxtime: 1705254800.118), (serial: 1518136828, mintime: 1705254800.107, maxtime: 1705254800.107), (serial: -1408235760, mintime: 1705254800.239, maxtime: 1705254800.239)]",8da51995213b4cb80cd820f46f46,1705254800.107,1705254800.239,1,a51995,1,4,N428CM  ,1705251600
"[(serial: -1408231702, mintime: 1705254975.628, maxtime: 1705254975.628), (serial: -1408230519, mintime: 1705254975.573, maxtime: 1705254975.573)]",8da51995213b4cb80cd820f46f46,1705254975.573,1705254975.628,1,a51995,1,4,N428CM  ,1705251600
"[(serial: -1408231702, mintime: 1705254985.612, maxtime: 1705254985.612), (serial: -1408230519, mintime: 1705254985.607, maxtime: 1705254985.607), (serial: -1408235760, mintime: 1705254985.66, maxtime: 1705254985.66)]",8da51995213b4cb80cd820f46f46,1705254985.607,1705254985.66,1,a51995,1,4,N428CM  ,1705251600
"[(serial: -1408231432, mintime: 1705251671.875, maxtime: 1705251671.875)]",8da5ade3225d5434db5820e44ac5,1705251671.875,1705251671.875,1,a5ade3,2,4,WUP465  ,1705251600
"[(serial: -1408231493, mintime: 1705251797.627, maxtime: 1705251797.627), (serial: -1408232854, mintime: 1705251797.728, maxtime: 1705251797.728), (serial: -1408232811, mintime: 1705251797.706, maxtime: 1705251797.706)]",8da5ade3225d5434db5820e44ac5,1705251797.627,1705251797.728,1,a5ade3,2,4,WUP465  ,1705251600
"[(serial: -1408231493, mintime: 1705251877.779, maxtime: 1705251877.779), (serial: -1408229774, mintime: 1705251877.704, maxtime: 1705251877.704), (serial: -1408232854, mintime: 1705251877.867, maxtime: 1705251877.867), (serial: -1408232811, mintime: 1705251877.741, maxtime: 1705251877.741), (serial: -1408232390, mintime: 1705251877.779, maxtime: 1705251877.779)]",8da5ade3225d5434db5820e44ac5,1705251877.704,1705251877.867,1,a5ade3,2,4,WUP465  ,1705251600
"[(serial: -1408231493, mintime: 1705252008.55, maxtime: 1705252008.55), (serial: -1408232811, mintime: 1705252008.62, maxtime: 1705252008.62), (serial: -1408232854, mintime: 1705252008.607, maxtime: 1705252008.607)]",8da5ade3225d5434db5820e44ac5,1705252008.55,1705252008.62,1,a5ade3,2,4,WUP465  ,1705251600
"[(serial: -1408235760, mintime: 1705251849.701, maxtime: 1705251849.701)]",8da372ae213b3cb11d38205b7b75,1705251849.701,1705251849.701,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: 1518136828, mintime: 1705251939.462, maxtime: 1705251939.462)]",8da372ae213b3cb11d38205b7b75,1705251939.462,1705251939.462,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252333.759, maxtime: 1705252333.759)]",8da372ae213b3cb11d38205b7b75,1705252333.759,1705252333.759,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252443.519, maxtime: 1705252443.519)]",8da372ae213b3cb11d38205b7b75,1705252443.519,1705252443.519,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252463.446, maxtime: 1705252463.446)]",8da372ae213b3cb11d38205b7b75,1705252463.446,1705252463.446,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252478.766, maxtime: 1705252478.766)]",8da372ae213b3cb11d38205b7b75,1705252478.766,1705252478.766,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252493.923, maxtime: 1705252493.923)]",8da372ae213b3cb11d38205b7b75,1705252493.923,1705252493.923,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252498.843, maxtime: 1705252498.843)]",8da372ae213b3cb11d38205b7b75,1705252498.843,1705252498.843,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252543.672, maxtime: 1705252543.672)]",8da372ae213b3cb11d38205b7b75,1705252543.672,1705252543.672,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252553.445, maxtime: 1705252553.445)]",8da372ae213b3cb11d38205b7b75,1705252553.445,1705252553.445,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252558.352, maxtime: 1705252558.352)]",8da372ae213b3cb11d38205b7b75,1705252558.352,1705252558.352,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252573.006, maxtime: 1705252573.006)]",8da372ae213b3cb11d38205b7b75,1705252573.006,1705252573.006,1,a372ae,1,4,N321GS  ,1705251600
