sensors,rawmsg,mintime,maxtime,msgcount,icao24,nicsuppla,hcr,nic,survstatus,nicsupplb,odd,baroalt,lat,lon,alt,nicsupplc,groundspeed,gsresolution,heading,timeflag,surface,hour
"[(serial: -1408230390, mintime: 1705251744.038, maxtime: 1705251744.038)]",8da4028559b4064ec6621ce97db8,1705251744.038,1705251744.038,1,a40285,False,185.2,9,0,False,True,True,34.028708247815146,-81.06285095214844,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251750.539, maxtime: 1705251750.539)]",8fa4028559b4064faa624318d69c,1705251750.539,1705251750.539,1,a40285,False,185.2,9,0,False,True,True,34.034015202926376,-81.06061935424805,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251755.455, maxtime: 1705251755.455)]",8fa4028559b402b11bef16b1fe8d,1705251755.455,1705251755.455,1,a40285,False,185.2,9,0,False,False,True,34.03770446777344,-81.05903469786352,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251756.539, maxtime: 1705251756.539)]",8fa4028559b406507c6268bbeb38,1705251756.539,1705251756.539,1,a40285,False,185.2,9,0,False,True,True,34.03890318789725,-81.05850219726562,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251757.099, maxtime: 1705251757.099)]",8fa4028559b406508e626ba76f6e,1705251757.099,1705251757.099,1,a40285,False,185.2,9,0,False,True,True,34.039322158037606,-81.05833053588867,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251758.727, maxtime: 1705251758.727)]",8fa4028559940650c06273cb2adf,1705251758.727,1705251758.727,1,a40285,False,185.2,9,0,False,True,True,34.04048596398305,-81.0578727722168,2194.56,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251768.555, maxtime: 1705251768.555)]",8da40285599402b2fdef68d2e248,1705251768.555,1705251768.555,1,a40285,False,185.2,9,0,False,False,True,34.048736572265625,-81.05443837691325,2194.56,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251774.015, maxtime: 1705251774.015)]",8da40285599402b3b7ef87fc099b,1705251774.015,1705251774.015,1,a40285,False,185.2,9,0,False,False,True,34.05299377441406,-81.0527007433833,2194.56,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251776.153, maxtime: 1705251776.153)]",8da40285599402b403ef936a4e5c,1705251776.153,1705251776.153,1,a40285,False,185.2,9,0,False,False,True,34.05473327636719,-81.05202811104911,2194.56,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251776.591, maxtime: 1705251776.591)]",8da40285599402b415ef96643ff5,1705251776.591,1705251776.591,1,a40285,False,185.2,9,0,False,False,True,34.055145263671875,-81.05185995296556,2194.56,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251779.423, maxtime: 1705251779.423)]",8da4028559b40653a462ed5cde25,1705251779.423,1705251779.423,1,a40285,False,185.2,9,0,False,True,True,34.05771029197563,-81.0508918762207,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251781.619, maxtime: 1705251781.619)]",8fa4028559b40653f262fa6849ed,1705251781.619,1705251781.619,1,a40285,False,185.2,9,0,False,True,True,34.059525829250525,-81.0501480102539,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251786.967, maxtime: 1705251786.967)]",8fa4028559b40654a66316d057d8,1705251786.967,1705251786.967,1,a40285,False,185.2,9,0,False,True,True,34.06371553065413,-81.04854583740234,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251796.285, maxtime: 1705251796.285)]",8fa4028559b40655ec6348076faa,1705251796.285,1705251796.285,1,a40285,False,185.2,9,0,False,True,True,34.07130354541843,-81.04568481445312,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251796.396, maxtime: 1705251796.396)]",8fa4028559b40655fe634b3e6b2a,1705251796.396,1705251796.396,1,a40285,False,185.2,9,0,False,True,True,34.07172251555879,-81.04551315307617,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251796.919, maxtime: 1705251796.919)]",8fa4028559b4065614634eed2abc,1705251796.919,1705251796.919,1,a40285,False,185.2,9,0,False,True,True,34.07223459017479,-81.04534149169922,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251798.547, maxtime: 1705251798.547)]",8da4028559b402b72ff011133e0e,1705251798.547,1705251798.547,1,a40285,False,185.2,9,0,False,False,True,34.07331848144531,-81.0449654715402,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251799.627, maxtime: 1705251799.627)]",8da4028559b4065666635bab8c42,1705251799.627,1705251799.627,1,a40285,False,185.2,9,0,False,True,True,34.07414323192532,-81.04459762573242,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251801.819, maxtime: 1705251801.819)]",8da4028559b402b7aff02607cbef,1705251801.819,1705251801.819,1,a40285,False,185.2,9,0,False,False,True,34.07624816894531,-81.04378836495533,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251803.489, maxtime: 1705251803.489)]",8da4028559b402b7e5f02ef8495b,1705251803.489,1705251803.489,1,a40285,False,185.2,9,0,False,False,True,34.077484130859375,-81.04333994339925,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251804.585, maxtime: 1705251804.585)]",8da4028559b406571c6377e6321a,1705251804.585,1705251804.585,1,a40285,False,185.2,9,0,False,True,True,34.078379485566735,-81.04299545288086,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251807.711, maxtime: 1705251807.711)]",8da4028559b4065784638845d42f,1705251807.711,1705251807.711,1,a40285,False,185.2,9,0,False,True,True,34.08080020193326,-81.04202270507812,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251808.919, maxtime: 1705251808.919)]",8da4028559b40657b4638f223c32,1705251808.919,1705251808.919,1,a40285,False,185.2,9,0,False,True,True,34.08191745564089,-81.04162216186523,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251810.557, maxtime: 1705251810.557)]",8fa4028559b40657f063992fb361,1705251810.557,1705251810.557,1,a40285,False,185.2,9,0,False,True,True,34.083314022775426,-81.04104995727539,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251811.647, maxtime: 1705251811.647)]",8fa4028559b4065818639f1759ba,1705251811.647,1705251811.647,1,a40285,False,185.2,9,0,False,True,True,34.084245067531775,-81.04070663452148,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251818.203, maxtime: 1705251818.203)]",8fa4028559b40658fc63c50687a7,1705251818.203,1705251818.203,1,a40285,False,185.2,9,0,False,True,True,34.089552022643005,-81.03853225708008,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251818.639, maxtime: 1705251818.639)]",8fa4028559b402ba05f087b07ee6,1705251818.639,1705251818.639,1,a40285,False,185.2,9,0,False,False,True,34.089935302734375,-81.0383512535874,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251819.295, maxtime: 1705251819.295)]",8fa4028559b402ba17f08a892e27,1705251819.295,1705251819.295,1,a40285,False,185.2,9,0,False,False,True,34.09034729003906,-81.03818309550383,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251819.89, maxtime: 1705251819.89)]",8fa4028559b406593a63cf6113fa,1705251819.89,1705251819.89,1,a40285,False,185.2,9,0,False,True,True,34.09099514201536,-81.03796005249023,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251820.383, maxtime: 1705251820.383)]",8fa4028559b402ba49f0929c595f,1705251820.383,1705251820.383,1,a40285,False,185.2,9,0,False,False,True,34.09149169921875,-81.03773467394768,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251820.823, maxtime: 1705251820.823)]",8fa4028559b406595e63d5994a2a,1705251820.823,1705251820.823,1,a40285,False,185.2,9,0,False,True,True,34.09183308229608,-81.03761672973633,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251822.027, maxtime: 1705251822.027)]",8fa4028559b406597c63dbc7cac0,1705251822.027,1705251822.027,1,a40285,False,185.2,9,0,False,True,True,34.092531365863344,-81.03727340698242,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251823.003, maxtime: 1705251823.003)]",8fa4028559b40659a063e122cc3c,1705251823.003,1705251823.003,1,a40285,False,185.2,9,0,False,True,True,34.09336930614407,-81.03693008422852,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251828.687, maxtime: 1705251828.687)]",8da4028559b4065a6e64041c26e7,1705251828.687,1705251828.687,1,a40285,False,185.2,9,0,False,True,True,34.0981641866393,-81.03492736816406,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251833.046, maxtime: 1705251833.046)]",8da4028559b4065af8641df8fb61,1705251833.046,1705251833.046,1,a40285,False,185.2,9,0,False,True,True,34.10137629104873,-81.03349685668945,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251841.823, maxtime: 1705251841.823)]",8fa4028559b4065c286456f1b58a,1705251841.823,1705251841.823,1,a40285,False,185.2,9,0,False,True,True,34.108452231197035,-81.03023529052734,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251844.515, maxtime: 1705251844.515)]",8fa4028559b4065c90646913aa36,1705251844.515,1705251844.515,1,a40285,False,185.2,9,0,False,True,True,34.11087294756356,-81.02914810180664,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251847.693, maxtime: 1705251847.693)]",8fa4028559b4065cfa647da9fc29,1705251847.693,1705251847.693,1,a40285,False,185.2,9,0,False,True,True,34.1133402161679,-81.02800369262695,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251848.887, maxtime: 1705251848.887)]",8fa4028559b4065d1e64846af005,1705251848.887,1705251848.887,1,a40285,False,185.2,9,0,False,True,True,34.114178156448624,-81.02760314941406,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251849.447, maxtime: 1705251849.447)]",8fa4028559b4065d2e64870d202e,1705251849.447,1705251849.447,1,a40285,False,185.2,9,0,False,True,True,34.11455057435116,-81.02743148803711,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251852.715, maxtime: 1705251852.715)]",8fa4028559b4065da0649c5a07ab,1705251852.715,1705251852.715,1,a40285,False,185.2,9,0,False,True,True,34.117204051906775,-81.02622985839844,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251853.736, maxtime: 1705251853.736)]",8fa4028559b402bee1f1690647a9,1705251853.736,1705251853.736,1,a40285,False,185.2,9,0,False,False,True,34.118408203125,-81.02568334462688,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251855.443, maxtime: 1705251855.443)]",8fa4028559b4065e0664af5b4826,1705251855.443,1705251855.443,1,a40285,False,185.2,9,0,False,True,True,34.119578216035485,-81.02514266967773,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251860.261, maxtime: 1705251860.261)]",8da4028559b4065ea464cca2d012,1705251860.261,1705251860.261,1,a40285,False,185.2,9,0,False,True,True,34.12325584282309,-81.02348327636719,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251862.583, maxtime: 1705251862.583)]",8da4028559b4065eec64d9b9a6af,1705251862.583,1705251862.583,1,a40285,False,185.2,9,0,False,True,True,34.124931723384535,-81.02273941040039,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251862.995, maxtime: 1705251862.995)]",8da4028559b4065f0264ddf5b892,1705251862.995,1705251862.995,1,a40285,False,185.2,9,0,False,True,True,34.125443798000525,-81.02251052856445,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251865.315, maxtime: 1705251865.315)]",8da4028559b4065f5864ec29db3b,1705251865.315,1705251865.315,1,a40285,False,185.2,9,0,False,True,True,34.127445544226696,-81.02165222167969,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251865.815, maxtime: 1705251865.815)]",8da4028559b4065f6664ef0c509e,1705251865.815,1705251865.815,1,a40285,False,185.2,9,0,False,True,True,34.127771409891416,-81.02148056030273,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251866.947, maxtime: 1705251866.947)]",8da4028559b4065f8864f56b0769,1705251866.947,1705251866.947,1,a40285,False,185.2,9,0,False,True,True,34.12856279793432,-81.02113723754883,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251867.467, maxtime: 1705251867.467)]",8da4028559b402c0adf1bdf975f1,1705251867.467,1705251867.467,1,a40285,False,185.2,9,0,False,False,True,34.128936767578125,-81.0209749182876,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251868.597, maxtime: 1705251868.597)]",8da402855994065fbe64fe842871,1705251868.597,1705251868.597,1,a40285,False,185.2,9,0,False,True,True,34.1298197083554,-81.02062225341797,2194.56,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251869.139, maxtime: 1705251869.139)]",8da402855994065fde6503bfb911,1705251869.139,1705251869.139,1,a40285,False,185.2,9,0,False,True,True,34.130564544160485,-81.02033615112305,2194.56,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251871.326, maxtime: 1705251871.326)]",8fa40285599402c13df1d5f36e8a,1705251871.326,1705251871.326,1,a40285,False,185.2,9,0,False,False,True,34.132232666015625,-81.01962965361923,2194.56,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251871.853, maxtime: 1705251871.853)]",8fa4028559b406603a6513f55f6e,1705251871.853,1705251871.853,1,a40285,False,185.2,9,0,False,True,True,34.132705947100106,-81.0194206237793,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251872.383, maxtime: 1705251872.383)]",8fa4028559b402c163f1dcbd7bfa,1705251872.383,1705251872.383,1,a40285,False,185.2,9,0,False,False,True,34.13310241699219,-81.01923728475765,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251872.849, maxtime: 1705251872.849)]",8fa4028559b406605c6519164ee4,1705251872.849,1705251872.849,1,a40285,False,185.2,9,0,False,True,True,34.133497335143005,-81.01907730102539,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251873.505, maxtime: 1705251873.505)]",8fa4028559b4066070651cf50dfe,1705251873.505,1705251873.505,1,a40285,False,185.2,9,0,False,True,True,34.13396285752118,-81.01890563964844,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251874.02, maxtime: 1705251874.02)]",8fa4028559b402c197f1e473bf3c,1705251874.02,1705251874.02,1,a40285,False,185.2,9,0,False,False,True,34.13429260253906,-81.01878886320151,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251874.489, maxtime: 1705251874.489)]",8fa4028559b402c1a9f1e7563499,1705251874.489,1705251874.489,1,a40285,False,185.2,9,0,False,False,True,34.13470458984375,-81.018620705118,2164.08,False,,,,False,False,1705251600
