time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,serials,hour
1705254905,a00345,33.55289782507945,-85.12825012207031,280.06267101674996,59.90265423903113,0.32512,N10KJ   ,False,False,False,,11879.58,11963.4,1705254904.894,1705254904.986,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408233905, -1408231138, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254906,a00345,33.55289782507945,-85.12825012207031,280.06267101674996,59.90265423903113,0.65024,N10KJ   ,False,False,False,,11879.58,11971.02,1705254904.894,1705254905.647,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408233905, -1408231138, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254907,a00345,33.5555419921875,-85.12279899752872,280.06267101674996,59.90265423903113,0.65024,N10KJ   ,False,False,False,,11879.58,11963.4,1705254907.0,1705254907.0,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408233905, -1408231138, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254908,a00345,33.556668556342686,-85.12046813964844,279.8050464415487,59.99379426878303,0.65024,N10KJ   ,False,False,False,,11879.58,11963.4,1705254907.981,1705254907.981,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408233905, -1408231138, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254909,a00345,33.556668556342686,-85.12046813964844,279.8050464415487,59.99379426878303,0.32512,N10KJ   ,False,False,False,,11879.58,11963.4,1705254908.235,1705254908.97,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408233905, -1408231138, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254910,a00345,33.55792546676377,-85.11783599853516,280.2506582390708,60.0463918321985,0.32512,N10KJ   ,False,False,False,,11887.2,11971.02,1705254909.063,1705254909.969,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254911,a00345,33.56034851074219,-85.11287767059946,280.2506582390708,60.0463918321985,0.32512,N10KJ   ,False,False,False,,11887.2,11971.02,1705254910.929,1705254910.929,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254912,a00345,33.56174275026483,-85.1099967956543,280.2506582390708,60.0463918321985,0.32512,N10KJ   ,False,False,False,,11887.2,11971.02,1705254911.933,1705254911.933,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254913,a00345,33.56299966068591,-85.107421875,280.2506582390708,60.0463918321985,0.0,N10KJ   ,False,False,False,,11887.2,11971.02,1705254912.966,1705254912.982,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254914,a00345,33.5635986328125,-85.10609529456315,280.2506582390708,60.0463918321985,0.0,N10KJ   ,False,False,False,,11887.2,11971.02,1705254913.463,1705254913.984,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254915,a00345,33.56523416810116,-85.10272979736328,279.8050464415487,59.99379426878303,0.0,N10KJ   ,False,False,False,,11887.2,11971.02,1705254914.778,1705254914.988,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254916,a00345,33.56523416810116,-85.10272979736328,280.06267101674996,59.90265423903113,0.0,N10KJ   ,False,False,False,,11887.2,11971.02,1705254914.778,1705254915.64,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254917,a00345,33.56813049316406,-85.0967344945791,280.06267101674996,59.90265423903113,0.0,N10KJ   ,False,False,False,,11887.2,11971.02,1705254916.994,1705254916.994,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254918,a00345,33.56877213817532,-85.09540557861328,280.06267101674996,59.90265423903113,0.0,N10KJ   ,False,False,False,,11887.2,11971.02,1705254917.608,1705254917.608,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254919,a00345,33.5701904296875,-85.09253054249041,280.06267101674996,59.90265423903113,0.0,N10KJ   ,False,False,False,,11887.2,11971.02,1705254918.749,1705254918.914,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408236574, -1408231086, -1408231702]",1705251600
1705254920,a00345,33.57142639160156,-85.08995211854273,280.06267101674996,59.90265423903113,0.0,N10KJ   ,False,False,False,,11879.58,11963.4,1705254919.732,1705254919.732,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
1705254921,a00345,33.57270812988281,-85.08731764190048,280.06267101674996,59.90265423903113,0.32512,N10KJ   ,False,False,False,,11879.58,11971.02,1705254920.525,1705254920.783,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
1705254922,a00345,33.57407909328654,-85.08447647094727,280.2506582390708,60.0463918321985,0.32512,N10KJ   ,False,False,False,,11879.58,11971.02,1705254921.838,1705254921.838,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
1705254923,a00345,33.575336003707626,-85.08184432983398,280.2506582390708,60.0463918321985,0.32512,N10KJ   ,False,False,False,,11879.58,11971.02,1705254922.984,1705254922.984,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
1705254924,a00345,33.57673645019531,-85.07896579041773,280.2506582390708,60.0463918321985,0.65024,N10KJ   ,False,False,False,,11887.2,11971.02,1705254923.889,1705254923.889,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
1705254925,a00345,33.578129137976696,-85.07612228393555,280.2506582390708,60.0463918321985,0.65024,N10KJ   ,False,False,False,,11887.2,11971.02,1705254924.988,1705254924.988,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
1705254926,a00345,33.57948303222656,-85.07324841557715,280.2506582390708,60.0463918321985,0.65024,N10KJ   ,False,False,False,,11887.2,11971.02,1705254925.989,1705254925.989,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
1705254927,a00345,33.580642958818856,-85.07091522216797,280.2506582390708,60.0463918321985,0.65024,N10KJ   ,False,False,False,,11887.2,11971.02,1705254926.93,1705254926.944,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
1705254928,a00345,33.58204650878906,-85.06803551498723,280.2506582390708,60.0463918321985,0.32512,N10KJ   ,False,False,False,,11887.2,11971.02,1705254927.993,1705254927.994,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
1705254929,a00345,33.58315677966102,-85.0656509399414,280.2506582390708,60.0463918321985,0.32512,N10KJ   ,False,False,False,,11887.2,11971.02,1705254928.972,1705254928.972,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
1705254930,a00345,33.58428955078125,-85.06332708864795,280.2506582390708,60.0463918321985,0.0,N10KJ   ,False,False,False,,11887.2,11971.02,1705254929.953,1705254929.953,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
1705254931,a00345,33.58552551269531,-85.06069261200571,280.2506582390708,60.0463918321985,-0.32512,N10KJ   ,False,False,False,,11887.2,11971.02,1705254930.909,1705254930.909,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
1705254932,a00345,33.58680725097656,-85.05811418805803,280.2506582390708,60.0463918321985,-0.32512,N10KJ   ,False,False,False,,11887.2,11971.02,1705254931.954,1705254931.954,"[-1408235760, -1408236145, -1408232616, -1408229756, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
1705254933,a00345,33.58808898925781,-85.05547971141579,280.2506582390708,60.0463918321985,-0.65024,N10KJ   ,False,False,False,,11887.2,11971.02,1705254932.821,1705254932.821,"[-1408235760, -1408236145, -1408232616, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
1705254934,a00345,33.589324951171875,-85.0528452347736,280.2506582390708,60.0463918321985,-0.65024,N10KJ   ,False,False,False,,11887.2,11971.02,1705254933.977,1705254933.977,"[-1408235760, -1408236145, -1408232616, -1408229756, -1408231948, 1518136828, -1408230713, -1408232564, -1408232390, -1408236409, -1408233905, -1408231138, -1408230519, -1408230934, -1408231086, -1408231702]",1705251600
